"Sum of Frequencies","Depth","Formatted Partition","Analysis Variable","Data Role","Value","Target Name","Partition Indicator","Predicted Mean","Predicted Minimum","Predicted Maximum","Target Minimum","Target Maximum","Target Mean",
"44","90","           1","P_avg_consumption","TRAIN","11.2168283669","avg_consumption","1","11.4201046067","11.2168283669","11.6152708878","11.13031006","11.74130108","11.4215402095",
"44","95","           1","P_avg_consumption","TRAIN","10.7608141351","avg_consumption","1","11.0034559475","10.7608141351","11.2078258149","10.49983507","11.48287111","11.00993974",
"42","100","           1","P_avg_consumption","TRAIN","9.83309377154","avg_consumption","1","10.3545600823","9.83309377154","10.7485758045","9.605370532","10.88064224","10.308294721",
"0","0","           2","P_avg_consumption","TEST","0","avg_consumption","2"," "," "," "," "," "," ",
"8","5","           2","P_avg_consumption","TEST","18.573567352","avg_consumption","2","19.0886385506","18.5996777829","19.8696499293","18.73785165","19.71620411","19.177093385",
"8","10","           2","P_avg_consumption","TEST","18.2659304445","avg_consumption","2","18.3758443595","18.2659304445","18.573567352","18.01747637","18.63092193","18.358578025",
"7","15","           2","P_avg_consumption","TEST","18.111116429","avg_consumption","2","18.1504290229","18.111116429","18.21545454","16.89790585","18.33601083","17.8980004171",
"8","20","           2","P_avg_consumption","TEST","17.7943178643","avg_consumption","2","17.9446375457","17.7943178643","18.1097203379","17.69952884","18.02340386","17.9064613812",
"7","25","           2","P_avg_consumption","TEST","17.3298909719","avg_consumption","2","17.4669539178","17.3298909719","17.6912307234","17.0617514","17.6841121","17.3507094614",
"7","30","           2","P_avg_consumption","TEST","16.9876902483","avg_consumption","2","17.186843335","16.9876902483","17.3083619797","16.81887775","17.48619216","17.1029863329",
"8","35","           2","P_avg_consumption","TEST","15.3784412091","avg_consumption","2","15.8004585586","15.3784412091","16.7957703484","14.99248905","16.87311384","15.9130850363",
"7","40","           2","P_avg_consumption","TEST","14.7314790046","avg_consumption","2","14.9623648676","14.7314790046","15.2952323985","14.04460768","15.63528164","14.83573819",
"7","45","           2","P_avg_consumption","TEST","14.5756085399","avg_consumption","2","14.6567569009","14.5756085399","14.7205664006","14.36714341","14.73371813","14.5572608914",
