date,consumption
2018-01-01,13.824643008805031
2018-01-02,15.409389175609757
2018-01-03,15.400263678606
2018-01-04,16.02791336872587
2018-01-05,16.504047981118376
2018-01-06,14.631408585353661
2018-01-07,14.012496796116505
2018-01-08,16.54339466975384
2018-01-09,16.4912826500484
2018-01-10,16.864198159628998
2018-01-11,16.214688404308617
2018-01-12,17.17045403198032
2018-01-13,13.54917671201232
2018-01-14,13.639213283398822
2018-01-15,16.048905417145484
2018-01-16,17.132768115015974
2018-01-17,17.982167646649664
2018-01-18,18.568887570231638
2018-01-19,17.887385534105537
2018-01-20,15.406107617901828
2018-01-21,15.197447031437486
2018-01-22,17.37168315585673
2018-01-23,17.6768036058257
2018-01-24,17.494112648359323
2018-01-25,16.897905849744713
2018-01-26,17.061751399341485
2018-01-27,15.499390105973026
2018-01-28,16.39712546716233
2018-01-29,19.199386027865405
2018-01-30,16.93931849872182
2018-01-31,17.10880799585826
2018-02-01,17.097501490241104
2018-02-02,17.347074400557624
2018-02-03,14.582368349881797
2018-02-04,14.668347202436738
2018-02-05,17.70989085780347
2018-02-06,18.74330209923664
2018-02-07,18.33244565128728
2018-02-08,19.29883675115769
2018-02-09,19.12751062733209
2018-02-10,16.381685640729625
2018-02-11,15.146721007770191
2018-02-12,18.053108631047927
2018-02-13,18.193789247064238
2018-02-14,18.668185560384266
2018-02-15,18.29025320754717
2018-02-16,17.641179520818795
2018-02-17,15.162396899512647
2018-02-18,15.24394511262318
2018-02-19,18.288447956764294
2018-02-20,18.39768640112465
2018-02-21,18.545902833486657
2018-02-22,18.676590862932063
2018-02-23,18.860213488316642
2018-02-24,15.906364147858131
2018-02-25,14.526725555816135
2018-02-26,18.29701631286211
2018-02-27,18.849060465171757
2018-02-28,18.39280018173007
2018-03-01,17.97230562593891
2018-03-02,18.503308660364308
2018-03-03,15.72634548590072
2018-03-04,14.769761479357799
2018-03-05,18.231600002300965
2018-03-06,18.556601427578215
2018-03-07,18.851963470211253
2018-03-08,18.60323722396714
2018-03-09,18.93060160914068
2018-03-10,16.61286532910202
2018-03-11,15.917422938144332
2018-03-12,18.251260719075145
2018-03-13,18.302020039370078
2018-03-14,18.55701424059452
2018-03-15,18.436557479108636
2018-03-16,18.24174212572759
2018-03-17,16.271637889632878
2018-03-18,15.809261367006489
2018-03-19,18.518532607783733
2018-03-20,18.494486015406164
2018-03-21,18.320630710446366
2018-03-22,18.19599260365995
2018-03-23,18.075038018164882
2018-03-24,15.085007920837125
