date,mean,max,min
2018-05-03,19.190833333333334,26.4,12.8
2018-05-04,13.266597222222224,16.6,10.8
2018-05-05,15.017847222222223,21.3,11.3
2018-05-06,14.219583333333334,22.0,7.3
2018-05-07,15.207291666666666,19.6,8.6
2018-05-08,14.194791666666667,19.0,8.4
2018-05-09,12.406527777777779,18.7,4.6
2018-05-10,8.976666666666667,12.8,6.2
2018-05-11,10.982916666666666,14.0,6.3
2018-05-12,13.396875,16.2,11.4
2018-05-13,13.47298611111111,17.2,10.0
2018-05-14,9.582777777777778,16.0,5.8
2018-05-15,10.599444444444446,14.2,7.8
2018-05-16,10.104097222222222,14.7,6.0
2018-05-17,12.262430555555557,15.1,10.4
2018-05-18,12.600138888888889,17.1,9.2
2018-05-19,11.45486111111111,14.8,8.1
2018-05-20,13.51986111111111,15.5,11.6
2018-05-21,12.726666666666668,14.3,11.2
2018-05-22,14.165208333333334,16.1,12.2
2018-05-23,12.838333333333335,14.9,11.2
2018-05-24,12.820625,15.6,10.5
2018-05-25,11.290902777777777,15.5,6.5
2018-05-26,10.172083333333333,20.4,3.7
2018-05-27,14.462986111111112,20.1,7.5
2018-05-28,17.137083333333333,20.2,15.1
2018-05-29,13.625625000000001,18.0,8.4
2018-05-30,10.353194444444444,15.1,5.4
2018-05-31,10.042291666666667,14.7,5.2
2018-06-01,6.9546527777777785,14.5,1.1
2018-06-02,7.165694444444445,14.7,0.6
2018-06-03,7.438055555555555,12.0,2.2
2018-06-04,8.725486111111111,14.9,4.3
2018-06-05,10.416527777777777,16.7,7.0
2018-06-06,10.040347222222222,18.6,3.2
2018-06-07,15.108888888888888,17.6,10.5
2018-06-08,12.960208333333334,17.6,10.8
2018-06-09,11.147708333333334,16.2,6.6
2018-06-10,7.737847222222222,17.0,2.8
2018-06-11,10.577361111111111,16.2,3.8
2018-06-12,12.702499999999999,15.8,10.6
2018-06-13,10.787152777777777,13.0,8.7
2018-06-14,10.912222222222223,13.5,8.2
2018-06-15,10.354652777777778,13.4,6.9
2018-06-16,8.730972222222222,12.4,6.2
2018-06-17,9.713333333333335,12.7,7.2
2018-06-18,9.368125000000001,12.6,3.7
2018-06-19,5.412986111111111,13.5,-0.1
2018-06-20,7.327152777777778,14.7,1.7
2018-06-21,7.50875,15.6,0.8
2018-06-22,7.601736111111111,14.7,1.6
2018-06-23,8.462916666666667,11.5,4.8
2018-06-24,9.476180555555556,12.2,7.6
2018-06-25,9.433402777777777,12.0,7.1
