meter_id,event_type,date,event_description
59,COVID_19_Building_Shutdown,3/21/2020,Building Shutdown due to the COVID-19 Lockdown
60,COVID_19_Building_Shutdown,3/8/2020,Building Shutdown due to the COVID-19 Lockdown
61,HVAC_Tuning,5/23/2019,HVAC System Tuning
61,COVID_19_Building_Shutdown,3/21/2020,Building Shutdown due to the COVID-19 Lockdown
62,HVAC_Tuning,5/23/2019,HVAC System Tuning
62,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
62,LED_Installation,11/24/2020,Completion of LED Installation
63,LED_Installation,3/23/2020,Completion of LED Installation
63,HVAC_Tuning,5/23/2019,HVAC System Tuning
63,COVID_19_Building_Shutdown,3/14/2020,Building Shutdown due to the COVID-19 Lockdown
64,COVID_19_Building_Shutdown,4/10/2020,Building Shutdown due to the COVID-19 Lockdown
